Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
NCRNA00201,-0.13,0.0557,-2.3336,2.02E-02,0.8342
C10orf27,0.1231,0.0528,2.3325,2.03E-02,0.8342
MMP12,0.1396,0.0599,2.332,2.03E-02,0.8342
TNC,0.1396,0.0599,2.3298,2.04E-02,0.8342
ARMCX2,-0.124,0.0532,-2.3295,2.04E-02,0.8342
CIITA,0.1395,0.0599,2.3283,2.05E-02,0.8342
KIAA1609,0.1079,0.0463,2.3281,2.05E-02,0.8342
ERO1L,0.1164,0.05,2.3274,2.05E-02,0.8342
FAM49A,0.1194,0.0513,2.3266,2.06E-02,0.8342
NHLH1,0.1401,0.0602,2.326,2.06E-02,0.8342
CD163,0.1279,0.055,2.3256,2.06E-02,0.8342
OCM,-0.139,0.0598,-2.3245,2.07E-02,0.8342
LOC400794,-0.1434,0.0617,-2.3245,2.07E-02,0.8342
C15orf48,0.145,0.0624,2.3227,2.08E-02,0.8342
C1orf204,-0.1331,0.0573,-2.322,2.08E-02,0.8342
TXNRD1,0.1076,0.0463,2.3219,2.08E-02,0.8342
KLF10,0.111,0.0478,2.3219,2.08E-02,0.8342
C17orf70,-0.1252,0.0539,-2.3215,2.09E-02,0.8342
C2orf82,-0.1591,0.0686,-2.3207,2.09E-02,0.8342
YIPF5,0.0921,0.0397,2.3204,2.09E-02,0.8342
LOC440944,-0.1101,0.0474,-2.3199,2.10E-02,0.8342
TPST1,0.1073,0.0463,2.3194,2.10E-02,0.8342
C21orf57,-0.1334,0.0575,-2.3188,2.10E-02,0.8342
NUP210L,-0.1557,0.0672,-2.3187,2.10E-02,0.8342
BIRC3,0.1342,0.0579,2.3178,2.11E-02,0.8342
CSF1,0.1308,0.0564,2.3173,2.11E-02,0.8342
P2RY6,0.1468,0.0635,2.3138,2.13E-02,0.8342
C6orf41,-0.1392,0.0602,-2.3137,2.13E-02,0.8342
AS3MT,-0.139,0.0601,-2.3133,2.13E-02,0.8342
COTL1,0.1217,0.0526,2.3131,2.13E-02,0.8342
TPTE2P1,-0.1452,0.0628,-2.312,2.14E-02,0.8342
DSC1,-0.1281,0.0554,-2.3109,2.15E-02,0.8342
NR1I2,-0.1363,0.059,-2.3089,2.16E-02,0.8342
RSC1A1,0.1031,0.0447,2.3082,2.16E-02,0.8342
PSTK,-0.111,0.0481,-2.3067,2.17E-02,0.8342
FLJ37201,-0.1216,0.0527,-2.3066,2.17E-02,0.8342
VN1R1,-0.1245,0.054,-2.3055,2.18E-02,0.8342
ZNFX1,0.1119,0.0486,2.3048,2.18E-02,0.8342
C2CD4D,-0.1376,0.0598,-2.3033,2.19E-02,0.8342
CABP1,-0.1358,0.059,-2.3026,2.19E-02,0.8342
EEF2K,0.1012,0.044,2.3021,2.20E-02,0.8342
PLEKHG4,-0.1427,0.062,-2.302,2.20E-02,0.8342
ZFP14,-0.0977,0.0424,-2.302,2.20E-02,0.8342
LOC285954,-0.1268,0.0551,-2.3015,2.20E-02,0.8342
PSMG3,-0.1263,0.0549,-2.3015,2.20E-02,0.8342
TXNDC11,0.1054,0.0458,2.3009,2.20E-02,0.8342
MFSD10,-0.1205,0.0524,-2.3009,2.20E-02,0.8342
PREX1,0.1221,0.0531,2.3007,2.20E-02,0.8342
DGKK,0.1293,0.0562,2.3007,2.20E-02,0.8342
SELPLG,0.1349,0.0587,2.2987,2.22E-02,0.8342
CALCA,0.1368,0.0595,2.2979,2.22E-02,0.8342
UTP14C,0.0938,0.0408,2.2969,2.23E-02,0.8342
WASF1,0.125,0.0544,2.2966,2.23E-02,0.8342
MEF2A,0.0963,0.0419,2.2961,2.23E-02,0.8342
TRIM52,-0.1152,0.0502,-2.2945,2.24E-02,0.8342
CXCR2,0.142,0.062,2.2897,2.27E-02,0.8342
LANCL2,-0.094,0.0411,-2.2894,2.27E-02,0.8342
KIAA0922,0.1109,0.0485,2.2883,2.28E-02,0.8342
SH2B1,-0.105,0.0459,-2.2864,2.29E-02,0.8342
MLX,0.0945,0.0414,2.2862,2.29E-02,0.8342
HDHD1A,0.1108,0.0485,2.2858,2.29E-02,0.8342
PTPN1,0.0961,0.0421,2.2855,2.29E-02,0.8342
H2AFB1,-0.1648,0.0721,-2.2854,2.29E-02,0.8342
C21orf125,-0.1427,0.0624,-2.2854,2.29E-02,0.8342
CC2D2B,-0.1297,0.0568,-2.2853,2.29E-02,0.8342
C1QTNF4,-0.1429,0.0625,-2.2846,2.30E-02,0.8342
HAUS5,-0.1057,0.0463,-2.2843,2.30E-02,0.8342
RFNG,-0.1156,0.0506,-2.2839,2.30E-02,0.8342
ZSCAN12,-0.1064,0.0466,-2.2831,2.31E-02,0.8342
LFNG,-0.1459,0.0639,-2.283,2.31E-02,0.8342
NLRC4,0.1135,0.0497,2.2828,2.31E-02,0.8342
TRIM47,0.1255,0.055,2.2822,2.31E-02,0.8342
MSN,0.1131,0.0496,2.2814,2.32E-02,0.8342
PILRB,-0.1299,0.057,-2.2801,2.32E-02,0.8342
GUSBP1,-0.1287,0.0565,-2.2781,2.34E-02,0.8342
AMZ2P1,-0.1158,0.0509,-2.2767,2.34E-02,0.8342
ERCC4,0.0916,0.0402,2.2764,2.35E-02,0.8342
PGAP3,-0.1279,0.0562,-2.2762,2.35E-02,0.8342
SMCR8,0.1068,0.0469,2.2761,2.35E-02,0.8342
GJB2,0.1448,0.0636,2.2758,2.35E-02,0.8342
MAPK8IP3,-0.1332,0.0585,-2.2749,2.36E-02,0.8342
C1orf133,-0.1383,0.0608,-2.2743,2.36E-02,0.8342
TLN2,0.1229,0.0541,2.2735,2.36E-02,0.8342
SGPP2,0.1354,0.0596,2.272,2.37E-02,0.8342
CHD9,0.1043,0.0459,2.2714,2.38E-02,0.8342
C7orf36,-0.1049,0.0462,-2.2713,2.38E-02,0.8342
IPO7,0.1011,0.0445,2.2702,2.38E-02,0.8342
ANPEP,0.1561,0.0688,2.2698,2.39E-02,0.8342
MGAT4A,0.1055,0.0465,2.2687,2.39E-02,0.8342
C5orf32,0.13,0.0573,2.2684,2.40E-02,0.8342
TRIM35,0.1025,0.0452,2.2673,2.40E-02,0.8342
KIAA1407,-0.1156,0.051,-2.2672,2.40E-02,0.8342
ALMS1P,-0.1352,0.0597,-2.2661,2.41E-02,0.8342
CYBB,0.1225,0.0541,2.2649,2.42E-02,0.8342
SIGLEC9,0.1275,0.0563,2.2645,2.42E-02,0.8342
C15orf41,-0.1059,0.0468,-2.2626,2.43E-02,0.8342
ZNF541,-0.1419,0.0628,-2.2592,2.45E-02,0.8342
TBC1D25,0.1043,0.0462,2.2588,2.46E-02,0.8342
C19orf60,-0.1242,0.055,-2.2586,2.46E-02,0.8342
LOC100128288,-0.1234,0.0546,-2.2584,2.46E-02,0.8342
SIRPB1,0.132,0.0585,2.2579,2.46E-02,0.8342
SAMHD1,0.1198,0.0531,2.2575,2.46E-02,0.8342
LILRB4,0.1301,0.0577,2.2566,2.47E-02,0.8342
THOC1,-0.1065,0.0472,-2.2562,2.47E-02,0.8342
TMPPE,0.1272,0.0564,2.2552,2.48E-02,0.8342
C1orf91,-0.1151,0.051,-2.2551,2.48E-02,0.8342
SCN3A,-0.139,0.0617,-2.2545,2.48E-02,0.8342
CRYGS,-0.1432,0.0635,-2.2541,2.48E-02,0.8342
LRDD,-0.121,0.0537,-2.2538,2.49E-02,0.8342
SERPINB9,0.1232,0.0547,2.2533,2.49E-02,0.8342
SNHG7,-0.1261,0.056,-2.2525,2.49E-02,0.8342
C2orf63,-0.1121,0.0498,-2.2517,2.50E-02,0.8342
ABCC5,-0.112,0.0497,-2.2513,2.50E-02,0.8342
ZNF345,-0.1006,0.0447,-2.2512,2.50E-02,0.8342
MICAL3,-0.1044,0.0464,-2.2509,2.51E-02,0.8342
RSPRY1,0.1101,0.0489,2.2496,2.51E-02,0.8342
CLPB,0.1313,0.0584,2.2479,2.52E-02,0.8342
CCDC84,-0.1242,0.0553,-2.2463,2.53E-02,0.8342
SEC16B,-0.1384,0.0616,-2.2462,2.54E-02,0.8342
RANBP17,-0.133,0.0592,-2.2459,2.54E-02,0.8342
HCG27,-0.1418,0.0631,-2.2459,2.54E-02,0.8342
PTAFR,0.1388,0.0618,2.2455,2.54E-02,0.8342
SEPT7P2,-0.1082,0.0482,-2.2453,2.54E-02,0.8342
LDLR,0.1218,0.0543,2.2442,2.55E-02,0.8342
LGALS4,-0.1439,0.0642,-2.2438,2.55E-02,0.8342
JMJD7-PLA2G4B,-0.1278,0.057,-2.2433,2.55E-02,0.8342
WIPF1,0.1177,0.0525,2.2425,2.56E-02,0.8342
TMOD1,0.1269,0.0566,2.2424,2.56E-02,0.8342
FAM18B,0.1048,0.0468,2.239,2.58E-02,0.8342
CTNS,0.1072,0.0479,2.2384,2.59E-02,0.8342
SLC2A12,-0.1269,0.0567,-2.2383,2.59E-02,0.8342
TMEM131,0.1046,0.0468,2.2366,2.60E-02,0.8342
ZC3H7A,0.0806,0.036,2.2359,2.60E-02,0.8342
HK1,0.1155,0.0517,2.2353,2.61E-02,0.8342
SNX3,0.0959,0.0429,2.2344,2.61E-02,0.8342
RNF43,-0.1306,0.0585,-2.2341,2.62E-02,0.8342
GPR156,-0.1176,0.0526,-2.233,2.62E-02,0.8342
LY6G6C,-0.1469,0.0658,-2.2328,2.62E-02,0.8342
ANKAR,-0.1216,0.0545,-2.2315,2.63E-02,0.8342
IRF8,0.1284,0.0576,2.2303,2.64E-02,0.8342
HSPC157,-0.1055,0.0473,-2.2302,2.64E-02,0.8342
ABCG5,-0.1322,0.0593,-2.228,2.66E-02,0.8342
CDH24,-0.1286,0.0577,-2.2279,2.66E-02,0.8342
AHNAK,0.1146,0.0514,2.2274,2.66E-02,0.8342
ST8SIA4,0.1159,0.0521,2.2272,2.66E-02,0.8342
PCYT1A,0.0974,0.0438,2.2263,2.67E-02,0.8342
EFCAB4A,-0.1389,0.0624,-2.2262,2.67E-02,0.8342
ZSCAN23,0.1134,0.051,2.2256,2.67E-02,0.8342
ZNF708,-0.1001,0.045,-2.2254,2.67E-02,0.8342
AP1G1,0.0944,0.0424,2.2253,2.67E-02,0.8342
LOC90246,-0.1294,0.0582,-2.2231,2.69E-02,0.8342
ZNF768,-0.1066,0.048,-2.2222,2.69E-02,0.8342
ZZEF1,0.101,0.0454,2.2216,2.70E-02,0.8342
IQGAP1,0.1003,0.0452,2.2204,2.71E-02,0.8342
WDR25,0.1131,0.0509,2.2201,2.71E-02,0.8342
PGK1,0.1091,0.0492,2.2179,2.72E-02,0.8342
TMEM98,-0.1145,0.0516,-2.2175,2.73E-02,0.8342
PDCD6,-0.1032,0.0465,-2.2175,2.73E-02,0.8342
LOC642846,-0.138,0.0622,-2.2173,2.73E-02,0.8342
FAM53A,-0.1332,0.0602,-2.2142,2.75E-02,0.8342
RAD9B,-0.1069,0.0483,-2.2123,2.76E-02,0.8342
SHROOM3,0.1076,0.0487,2.2118,2.77E-02,0.8342
CCDC61,-0.1251,0.0566,-2.2116,2.77E-02,0.8342
TOP3B,-0.1142,0.0517,-2.2106,2.78E-02,0.8342
TMEM81,-0.1168,0.0528,-2.2099,2.78E-02,0.8342
FAM111A,-0.1059,0.048,-2.2093,2.78E-02,0.8342
SERHL,-0.1183,0.0536,-2.2089,2.79E-02,0.8342
ICAM1,0.1289,0.0584,2.2081,2.79E-02,0.8342
CD86,0.1225,0.0555,2.2076,2.80E-02,0.8342
SLC35E3,0.1215,0.0551,2.2064,2.80E-02,0.8342
PRDX4,0.1085,0.0492,2.2062,2.81E-02,0.8342
GOLGA8A,-0.1301,0.059,-2.2056,2.81E-02,0.8342
PCDH11X,-0.1382,0.0627,-2.2049,2.82E-02,0.8342
DUSP5,0.1264,0.0574,2.2037,2.82E-02,0.8342
SND1,0.1103,0.05,2.2035,2.82E-02,0.8342
MICALL2,-0.1183,0.0538,-2.1995,2.85E-02,0.8342
PRSS33,-0.1491,0.0678,-2.1992,2.86E-02,0.8342
ADCK5,-0.1292,0.0588,-2.1986,2.86E-02,0.8342
ACPL2,-0.1165,0.053,-2.1979,2.87E-02,0.8342
TTC9C,0.0908,0.0413,2.1969,2.87E-02,0.8342
TNFRSF25,-0.1304,0.0594,-2.1968,2.87E-02,0.8342
ZNF513,-0.1094,0.0498,-2.1967,2.87E-02,0.8342
SLC6A19,0.1055,0.048,2.1965,2.88E-02,0.8342
OSBPL6,-0.1459,0.0665,-2.1949,2.89E-02,0.8342
LY6G5B,-0.114,0.0519,-2.1948,2.89E-02,0.8342
CHI3L2,0.1473,0.0671,2.1946,2.89E-02,0.8342
LOC400657,-0.0921,0.042,-2.1936,2.90E-02,0.8342
LOC441204,-0.1387,0.0633,-2.1933,2.90E-02,0.8342
CTSL1,0.1053,0.048,2.1926,2.90E-02,0.8342
OSGIN1,0.1216,0.0555,2.1926,2.90E-02,0.8342
CMTM7,-0.1314,0.0599,-2.1923,2.91E-02,0.8342
RAB40AL,-0.1247,0.0569,-2.192,2.91E-02,0.8342
ZNF700,-0.1025,0.0467,-2.1918,2.91E-02,0.8342
ZNF182,-0.0927,0.0423,-2.1911,2.91E-02,0.8342
NAMPT,0.1126,0.0514,2.1902,2.92E-02,0.8342
ATP6V1B2,0.0999,0.0456,2.1897,2.92E-02,0.8342
SFT2D1,0.0952,0.0435,2.189,2.93E-02,0.8342
STS,0.1128,0.0515,2.1885,2.93E-02,0.8342
PKLR,-0.1346,0.0615,-2.1884,2.93E-02,0.8342
SLITRK4,0.1344,0.0614,2.1874,2.94E-02,0.8342
BAG3,0.1121,0.0513,2.1872,2.94E-02,0.8342
MXD3,-0.1291,0.059,-2.1865,2.95E-02,0.8342
UPF3A,-0.1009,0.0462,-2.186,2.95E-02,0.8342
LOC493754,-0.0963,0.0441,-2.1856,2.96E-02,0.8342
DNPEP,0.1006,0.0461,2.1846,2.96E-02,0.8342
HMOX1,0.1157,0.053,2.1845,2.96E-02,0.8342
AKR7L,-0.1545,0.0708,-2.184,2.97E-02,0.8342
PRAMEF8,0.1199,0.0549,2.1825,2.98E-02,0.8342
CNNM2,0.1123,0.0515,2.1816,2.98E-02,0.8342
SSBP4,-0.1166,0.0535,-2.1804,2.99E-02,0.8342
GOLGA2B,-0.1284,0.0589,-2.1802,3.00E-02,0.8342
C21orf58,-0.1319,0.0605,-2.18,3.00E-02,0.8342
ACTG1,0.1121,0.0514,2.1799,3.00E-02,0.8342
C10orf41,-0.1035,0.0475,-2.1798,3.00E-02,0.8342
HSPA8,0.1052,0.0483,2.1784,3.01E-02,0.8342
CMIP,0.1061,0.0487,2.1782,3.01E-02,0.8342
SRPK3,-0.147,0.0675,-2.1779,3.01E-02,0.8342
HLA-DQA2,0.147,0.0675,2.177,3.02E-02,0.8342
SCNN1D,-0.1325,0.0609,-2.1767,3.02E-02,0.8342
PRRT1,-0.1225,0.0563,-2.1758,3.03E-02,0.8342
CIAPIN1,0.0967,0.0444,2.1752,3.03E-02,0.8342
ZNF440,-0.1154,0.0531,-2.1746,3.04E-02,0.8342
TMEM8A,0.123,0.0566,2.1743,3.04E-02,0.8342
PGM1,0.1111,0.0511,2.1742,3.04E-02,0.8342
ZNF141,-0.1251,0.0576,-2.174,3.04E-02,0.8342
RTN1,0.1299,0.0597,2.1739,3.04E-02,0.8342
KTELC1,-0.0954,0.0439,-2.1737,3.04E-02,0.8342
GPR55,0.1447,0.0666,2.1734,3.05E-02,0.8342
CSF2RA,0.1318,0.0607,2.1733,3.05E-02,0.8342
ZNF177,-0.1166,0.0536,-2.1732,3.05E-02,0.8342
U2AF1L4,-0.1146,0.0527,-2.1731,3.05E-02,0.8342
DDAH2,-0.1176,0.0541,-2.1727,3.05E-02,0.8342
IARS,0.0979,0.0451,2.1708,3.07E-02,0.8342
MTRF1,-0.11,0.0507,-2.1691,3.08E-02,0.8342
ZNF319,0.098,0.0452,2.1669,3.10E-02,0.8342
CLUL1,-0.1288,0.0595,-2.1661,3.10E-02,0.8342
PPP2CB,0.0977,0.0451,2.1661,3.10E-02,0.8342
TMLHE,0.1097,0.0507,2.165,3.11E-02,0.8342
MAEL,-0.1339,0.0619,-2.1642,3.12E-02,0.8342
ELOF1,-0.1142,0.0528,-2.1641,3.12E-02,0.8342
RBMX2,-0.1039,0.048,-2.1641,3.12E-02,0.8342
VCP,0.0954,0.0441,2.1637,3.12E-02,0.8342
ZYX,0.1129,0.0522,2.1622,3.13E-02,0.8342
CHRNA4,0.1306,0.0604,2.1622,3.13E-02,0.8342
CD80,0.1244,0.0576,2.1619,3.13E-02,0.8342
SGMS2,0.1068,0.0494,2.1606,3.14E-02,0.8342
EMR2,0.1198,0.0555,2.1606,3.14E-02,0.8342
PLA2G4E,0.1285,0.0595,2.1598,3.15E-02,0.8342
NCKAP1L,0.122,0.0565,2.1583,3.16E-02,0.8342
P2RY10,0.1282,0.0594,2.1576,3.17E-02,0.8342
HCFC2,0.0946,0.0438,2.1573,3.17E-02,0.8342
CUL9,-0.0998,0.0463,-2.1558,3.18E-02,0.8342
MYH15,-0.1316,0.061,-2.1557,3.18E-02,0.8342
MNDA,0.1148,0.0533,2.1555,3.19E-02,0.8342
TFEC,0.1148,0.0533,2.1552,3.19E-02,0.8342
LILRA2,0.1308,0.0607,2.1546,3.19E-02,0.8342
C6orf108,-0.117,0.0543,-2.1545,3.19E-02,0.8342
C20orf4,0.0808,0.0375,2.1539,3.20E-02,0.8342
ANO8,-0.1167,0.0542,-2.1538,3.20E-02,0.8342
SYCP2,-0.1238,0.0575,-2.1532,3.20E-02,0.8342
RAB27A,0.1037,0.0482,2.153,3.20E-02,0.8342
PCDHB9,-0.1402,0.0651,-2.1524,3.21E-02,0.8342
CN5H6.4,-0.1158,0.0538,-2.1521,3.21E-02,0.8342
ME3,-0.1242,0.0577,-2.152,3.21E-02,0.8342
UROS,-0.105,0.0488,-2.151,3.22E-02,0.8342
SEC23B,0.1054,0.049,2.1507,3.22E-02,0.8342
ZNF833,-0.1252,0.0582,-2.1503,3.23E-02,0.8342
BMP2K,0.0995,0.0463,2.1497,3.23E-02,0.8342
PMS2L4,-0.122,0.0568,-2.1487,3.24E-02,0.8342
TGM2,0.1248,0.0581,2.1481,3.24E-02,0.8342
SOX4,-0.1084,0.0505,-2.1474,3.25E-02,0.8342
LRRC45,-0.1153,0.0538,-2.1459,3.26E-02,0.8342
CPSF1,-0.1172,0.0547,-2.1442,3.28E-02,0.8342
ZNF362,-0.0957,0.0446,-2.144,3.28E-02,0.8342
NFKBIL1,-0.1026,0.0479,-2.1432,3.28E-02,0.8342
LILRA4,0.134,0.0626,2.1423,3.29E-02,0.8342
KRI1,-0.1005,0.0469,-2.1422,3.29E-02,0.8342
C6orf123,-0.1358,0.0634,-2.1419,3.29E-02,0.8342
SLC16A2,0.1148,0.0536,2.1418,3.29E-02,0.8342
TNFAIP3,0.1166,0.0545,2.141,3.30E-02,0.8342
C17orf56,-0.1081,0.0505,-2.1403,3.31E-02,0.8342
CDC27,0.0894,0.0418,2.1395,3.31E-02,0.8342
SERINC3,0.0965,0.0451,2.1393,3.31E-02,0.8342
FAM65A,0.1083,0.0506,2.1389,3.32E-02,0.8342
C20orf12,-0.1059,0.0496,-2.1365,3.34E-02,0.8342
AMH,-0.1274,0.0596,-2.1363,3.34E-02,0.8342
SYVN1,0.1098,0.0514,2.1359,3.34E-02,0.8342
DERL1,0.0907,0.0425,2.1356,3.34E-02,0.8342
APOF,-0.1342,0.0629,-2.1355,3.35E-02,0.8342
SFRS16,-0.107,0.0501,-2.1351,3.35E-02,0.8342
TDRD3,-0.1039,0.0487,-2.1344,3.35E-02,0.8342
P704P,0.1319,0.0618,2.1332,3.36E-02,0.8342
CD14,0.1289,0.0605,2.1327,3.37E-02,0.8342
ZNF354A,-0.0987,0.0463,-2.1326,3.37E-02,0.8342
RSU1,0.0984,0.0461,2.1323,3.37E-02,0.8342
C16orf70,0.0949,0.0445,2.132,3.37E-02,0.8342
ANO9,-0.1218,0.0571,-2.1315,3.38E-02,0.8342
ADCY10,-0.1315,0.0617,-2.1311,3.38E-02,0.8342
TACR1,0.132,0.062,2.1298,3.39E-02,0.8342
HIP1R,-0.1117,0.0525,-2.1294,3.40E-02,0.8342
LOC100268168,-0.1235,0.058,-2.1292,3.40E-02,0.8342
GFPT1,0.103,0.0484,2.129,3.40E-02,0.8342
KIAA1279,0.093,0.0437,2.129,3.40E-02,0.8342
CPNE7,-0.1348,0.0633,-2.1288,3.40E-02,0.8342
DHRS12,-0.1119,0.0526,-2.1276,3.41E-02,0.8342
C11orf35,-0.1227,0.0577,-2.1275,3.41E-02,0.8342
UBE2H,0.0961,0.0452,2.1268,3.42E-02,0.8342
RPL23A,0.13,0.0611,2.1264,3.42E-02,0.8342
C17orf90,-0.1168,0.055,-2.1257,3.43E-02,0.8342
CA3,-0.1151,0.0542,-2.1257,3.43E-02,0.8342
ATG5,0.0812,0.0382,2.1254,3.43E-02,0.8342
CHAT,0.1124,0.0529,2.125,3.43E-02,0.8342
ADAT2,-0.1038,0.0489,-2.1229,3.45E-02,0.8342
PFKFB1,-0.1334,0.0628,-2.1226,3.45E-02,0.8342
CDV3,0.088,0.0415,2.1226,3.45E-02,0.8342
OSBP,0.084,0.0396,2.1225,3.45E-02,0.8342
IRAK1BP1,-0.0927,0.0437,-2.1225,3.45E-02,0.8342
ZNF559,-0.093,0.0438,-2.1225,3.45E-02,0.8342
SNX20,0.123,0.058,2.1224,3.45E-02,0.8342
YIPF6,0.0971,0.0458,2.1223,3.46E-02,0.8342
SNX9,0.091,0.0429,2.1222,3.46E-02,0.8342
GAPVD1,0.086,0.0405,2.122,3.46E-02,0.8342
FOXD4L1,-0.1323,0.0624,-2.1217,3.46E-02,0.8342
S100A9,0.147,0.0693,2.1211,3.47E-02,0.8342
NECAP1,0.0924,0.0436,2.1199,3.48E-02,0.8342
NCALD,0.1235,0.0583,2.1197,3.48E-02,0.8342
OR13A1,-0.1185,0.0559,-2.1188,3.49E-02,0.8342
SIRT5,-0.0923,0.0436,-2.1183,3.49E-02,0.8342
VPS33A,0.0975,0.046,2.1182,3.49E-02,0.8342
LOC100130691,-0.1244,0.0588,-2.1169,3.50E-02,0.8342
HM13,0.1059,0.05,2.1163,3.51E-02,0.8342
SLC35C1,0.1093,0.0517,2.1161,3.51E-02,0.8342
SH2B3,0.1012,0.0478,2.116,3.51E-02,0.8342
MUL1,0.0898,0.0424,2.1157,3.51E-02,0.8342
KIAA1161,0.1213,0.0574,2.1156,3.51E-02,0.8342
OSMR,0.1209,0.0571,2.1151,3.52E-02,0.8342
STBD1,0.1043,0.0493,2.115,3.52E-02,0.8342
ZNF26,-0.0984,0.0465,-2.1148,3.52E-02,0.8342
JAZF1,0.1091,0.0516,2.1147,3.52E-02,0.8342
RGS17,-0.1324,0.0626,-2.1143,3.52E-02,0.8342
CCL3L1,0.1377,0.0651,2.114,3.53E-02,0.8342
ZNF397OS,-0.0928,0.0439,-2.114,3.53E-02,0.8342
SCAMP2,0.0926,0.0438,2.1138,3.53E-02,0.8342
LOC150776,-0.1328,0.0628,-2.1138,3.53E-02,0.8342
C1QC,0.126,0.0596,2.1136,3.53E-02,0.8342
ENGASE,-0.1076,0.0509,-2.1129,3.54E-02,0.8342
TRPC2,0.1244,0.0589,2.1107,3.56E-02,0.8342
SNCB,0.1312,0.0622,2.1101,3.56E-02,0.8342
PIM2,0.1146,0.0543,2.1096,3.57E-02,0.8342
CES3,-0.1359,0.0644,-2.1095,3.57E-02,0.8342
CALCOCO2,0.086,0.0408,2.1095,3.57E-02,0.8342
RTN4,0.0945,0.0448,2.109,3.57E-02,0.8342
UBE2G1,0.0812,0.0385,2.109,3.57E-02,0.8342
BCKDHA,0.1044,0.0495,2.1088,3.57E-02,0.8342
ATP6V1H,0.0926,0.0439,2.1088,3.57E-02,0.8342
HOMER3,-0.1162,0.0551,-2.1085,3.57E-02,0.8342
UGCG,0.1138,0.054,2.1081,3.58E-02,0.8342
LIMA1,0.0941,0.0447,2.1071,3.59E-02,0.8342
EGR3,0.126,0.0598,2.1068,3.59E-02,0.8342
SIGLEC14,0.121,0.0575,2.1063,3.59E-02,0.8342
CELF6,-0.1301,0.0618,-2.1053,3.60E-02,0.8342
RQCD1,0.1051,0.0499,2.105,3.61E-02,0.8342
PGAM1,0.1133,0.0538,2.1043,3.61E-02,0.8342
MTMR15,-0.0954,0.0454,-2.1041,3.61E-02,0.8342
CCDC57,-0.112,0.0532,-2.1039,3.61E-02,0.8342
TRIM16,0.1163,0.0553,2.1033,3.62E-02,0.8342
ATP2A2,0.0924,0.0439,2.1031,3.62E-02,0.8342
RASL11B,-0.1238,0.0588,-2.103,3.62E-02,0.8342
PACSIN2,0.1072,0.051,2.1026,3.63E-02,0.8342
ZNF133,-0.1004,0.0478,-2.1026,3.63E-02,0.8342
FLVCR2,0.1199,0.057,2.1026,3.63E-02,0.8342
C14orf129,0.0894,0.0425,2.1025,3.63E-02,0.8342
DCTN5,0.092,0.0437,2.1022,3.63E-02,0.8342
LONP2,0.0947,0.0451,2.1022,3.63E-02,0.8342
RDX,0.0895,0.0426,2.1011,3.64E-02,0.8342
C8G,-0.1352,0.0644,-2.1007,3.64E-02,0.8342
SH2D5,0.1248,0.0594,2.1007,3.64E-02,0.8342
OTOF,0.1269,0.0604,2.1007,3.64E-02,0.8342
SECTM1,0.1318,0.0627,2.1003,3.65E-02,0.8342
TERT,-0.1429,0.0681,-2.0996,3.65E-02,0.8342
CUZD1,-0.1218,0.058,-2.0989,3.66E-02,0.8342
CD70,0.1361,0.0649,2.0976,3.67E-02,0.8342
ZNF821,-0.1086,0.0518,-2.0975,3.67E-02,0.8342
SNX31,-0.1185,0.0565,-2.0974,3.67E-02,0.8342
FAM70A,0.1218,0.0581,2.0955,3.69E-02,0.8342
DFFA,0.1036,0.0494,2.0953,3.69E-02,0.8342
GPR84,0.1284,0.0613,2.0952,3.69E-02,0.8342
PCMT1,0.0838,0.04,2.0946,3.70E-02,0.8342
ACAD10,-0.102,0.0487,-2.0946,3.70E-02,0.8342
HECTD3,0.1065,0.0509,2.0944,3.70E-02,0.8342
EEF1A2,0.1321,0.0631,2.0935,3.71E-02,0.8342
FLII,0.0985,0.0471,2.0933,3.71E-02,0.8342
GIPR,0.1324,0.0632,2.0932,3.71E-02,0.8342
TNFRSF10B,0.1027,0.0491,2.0928,3.71E-02,0.8342
LILRB2,0.1193,0.057,2.0923,3.72E-02,0.8342
SLC5A11,-0.1306,0.0624,-2.092,3.72E-02,0.8342
CCL3,0.1267,0.0606,2.0911,3.73E-02,0.8342
C2orf49,0.0844,0.0404,2.0902,3.74E-02,0.8342
CLDN11,-0.1249,0.0598,-2.0897,3.74E-02,0.8342
SPATA20,-0.1202,0.0575,-2.0888,3.75E-02,0.8342
GNL2,-0.1025,0.0491,-2.0882,3.75E-02,0.8342
MARCKSL1,-0.1001,0.0479,-2.0882,3.76E-02,0.8342
SC4MOL,0.0988,0.0473,2.0881,3.76E-02,0.8342
PML,0.1139,0.0546,2.0881,3.76E-02,0.8342
C14orf181,-0.1129,0.0541,-2.0881,3.76E-02,0.8342
MZF1,-0.1229,0.0589,-2.0868,3.77E-02,0.8342
CCR8,0.1226,0.0587,2.0867,3.77E-02,0.8342
FOXO4,-0.0935,0.0448,-2.0862,3.77E-02,0.8342
LEPROTL1,0.0906,0.0434,2.0857,3.78E-02,0.8342
MYO1E,0.0948,0.0454,2.0852,3.78E-02,0.8342
PRSS3,-0.139,0.0667,-2.0847,3.79E-02,0.8342
ITGA2B,-0.1339,0.0643,-2.0836,3.80E-02,0.8342
KIAA1310,-0.0887,0.0426,-2.0831,3.80E-02,0.8342
